image_id,image_path,dataset,label,split
aptos_1ae8c165fd53,data/raw/aptos/train_images/train_images/1ae8c165fd53.png,aptos,2,train
aptos_1b329a127307,data/raw/aptos/train_images/train_images/1b329a127307.png,aptos,1,train
aptos_1b32e1d775ea,data/raw/aptos/train_images/train_images/1b32e1d775ea.png,aptos,4,train
aptos_1b3647865779,data/raw/aptos/train_images/train_images/1b3647865779.png,aptos,0,train
aptos_1b398c0494d1,data/raw/aptos/train_images/train_images/1b398c0494d1.png,aptos,0,train
aptos_1b4625877527,data/raw/aptos/train_images/train_images/1b4625877527.png,aptos,2,train
aptos_1b495ac025b7,data/raw/aptos/train_images/train_images/1b495ac025b7.png,aptos,3,train
aptos_1b862fb6f65d,data/raw/aptos/train_images/train_images/1b862fb6f65d.png,aptos,0,train
aptos_1b8701231c8f,data/raw/aptos/train_images/train_images/1b8701231c8f.png,aptos,0,train
aptos_1b8ad0afe9fb,data/raw/aptos/train_images/train_images/1b8ad0afe9fb.png,aptos,2,train
aptos_1bb0ddfe753a,data/raw/aptos/train_images/train_images/1bb0ddfe753a.png,aptos,1,train
aptos_1bea04b2bb2d,data/raw/aptos/train_images/train_images/1bea04b2bb2d.png,aptos,2,train
aptos_1bf30c84bbad,data/raw/aptos/train_images/train_images/1bf30c84bbad.png,aptos,4,train
aptos_1c0cf251b426,data/raw/aptos/train_images/train_images/1c0cf251b426.png,aptos,1,train
aptos_1c0e5dd1b14c,data/raw/aptos/train_images/train_images/1c0e5dd1b14c.png,aptos,2,train
aptos_1c13a1483f4a,data/raw/aptos/train_images/train_images/1c13a1483f4a.png,aptos,0,train
aptos_1c3a6b4449e9,data/raw/aptos/train_images/train_images/1c3a6b4449e9.png,aptos,1,train
aptos_1c47815f4a6b,data/raw/aptos/train_images/train_images/1c47815f4a6b.png,aptos,0,train
aptos_1c4d87baaffc,data/raw/aptos/train_images/train_images/1c4d87baaffc.png,aptos,2,train
aptos_1c4f3aa4df06,data/raw/aptos/train_images/train_images/1c4f3aa4df06.png,aptos,4,train
aptos_1c578b72d7b3,data/raw/aptos/train_images/train_images/1c578b72d7b3.png,aptos,2,train
aptos_1c5ad36fb799,data/raw/aptos/train_images/train_images/1c5ad36fb799.png,aptos,2,train
aptos_1c5e6cdc7ee1,data/raw/aptos/train_images/train_images/1c5e6cdc7ee1.png,aptos,2,train
aptos_1c6d119c3d70,data/raw/aptos/train_images/train_images/1c6d119c3d70.png,aptos,2,train
aptos_1c7a013eeba7,data/raw/aptos/train_images/train_images/1c7a013eeba7.png,aptos,0,train
aptos_1c9521878baf,data/raw/aptos/train_images/train_images/1c9521878baf.png,aptos,3,train
aptos_1c9c583c10bf,data/raw/aptos/train_images/train_images/1c9c583c10bf.png,aptos,0,train
aptos_1ca35d483772,data/raw/aptos/train_images/train_images/1ca35d483772.png,aptos,0,train
aptos_1ca62b3e4fd3,data/raw/aptos/train_images/train_images/1ca62b3e4fd3.png,aptos,0,train
aptos_1ca91751be4d,data/raw/aptos/train_images/train_images/1ca91751be4d.png,aptos,0,train
aptos_1caba2fb38f6,data/raw/aptos/train_images/train_images/1caba2fb38f6.png,aptos,0,train
aptos_1cb6961d141c,data/raw/aptos/train_images/train_images/1cb6961d141c.png,aptos,0,train
aptos_1cb814ed6332,data/raw/aptos/train_images/train_images/1cb814ed6332.png,aptos,2,train
aptos_1cc58b15f466,data/raw/aptos/train_images/train_images/1cc58b15f466.png,aptos,0,train
aptos_1d0b93317aa8,data/raw/aptos/train_images/train_images/1d0b93317aa8.png,aptos,0,train
aptos_1d11794057ff,data/raw/aptos/train_images/train_images/1d11794057ff.png,aptos,1,train
aptos_1d14dd912671,data/raw/aptos/train_images/train_images/1d14dd912671.png,aptos,2,train
aptos_1d2472849dce,data/raw/aptos/train_images/train_images/1d2472849dce.png,aptos,0,train
aptos_1d29cb2f4296,data/raw/aptos/train_images/train_images/1d29cb2f4296.png,aptos,0,train
aptos_1d37f1c8b6d8,data/raw/aptos/train_images/train_images/1d37f1c8b6d8.png,aptos,0,train
aptos_1d3e9b939732,data/raw/aptos/train_images/train_images/1d3e9b939732.png,aptos,0,train
aptos_1d46f1326394,data/raw/aptos/train_images/train_images/1d46f1326394.png,aptos,0,train
aptos_1d55e689cf84,data/raw/aptos/train_images/train_images/1d55e689cf84.png,aptos,2,train
aptos_1d674e2e32e0,data/raw/aptos/train_images/train_images/1d674e2e32e0.png,aptos,1,train
aptos_1d74c4713e21,data/raw/aptos/train_images/train_images/1d74c4713e21.png,aptos,0,train
aptos_1da25637859b,data/raw/aptos/train_images/train_images/1da25637859b.png,aptos,2,train
aptos_1da4a17c18c9,data/raw/aptos/train_images/train_images/1da4a17c18c9.png,aptos,0,train
aptos_1db0393cdbc1,data/raw/aptos/train_images/train_images/1db0393cdbc1.png,aptos,0,train
aptos_1db18bdd43aa,data/raw/aptos/train_images/train_images/1db18bdd43aa.png,aptos,2,train
aptos_1db6bb46c102,data/raw/aptos/train_images/train_images/1db6bb46c102.png,aptos,0,train
aptos_1dbdc32c17db,data/raw/aptos/train_images/train_images/1dbdc32c17db.png,aptos,2,train
aptos_1dd9adcbfff4,data/raw/aptos/train_images/train_images/1dd9adcbfff4.png,aptos,2,train
aptos_1df0431bfa73,data/raw/aptos/train_images/train_images/1df0431bfa73.png,aptos,0,train
aptos_1df0a4c23c95,data/raw/aptos/train_images/train_images/1df0a4c23c95.png,aptos,0,train
aptos_1df1530b9b8d,data/raw/aptos/train_images/train_images/1df1530b9b8d.png,aptos,0,train
aptos_1df3e03a8f5f,data/raw/aptos/train_images/train_images/1df3e03a8f5f.png,aptos,1,train
aptos_1dfbede13143,data/raw/aptos/train_images/train_images/1dfbede13143.png,aptos,2,train
aptos_1dfe599d12a9,data/raw/aptos/train_images/train_images/1dfe599d12a9.png,aptos,0,train
aptos_1e036f2e7095,data/raw/aptos/train_images/train_images/1e036f2e7095.png,aptos,0,train
aptos_1e143fa3de57,data/raw/aptos/train_images/train_images/1e143fa3de57.png,aptos,2,train
aptos_1e1fb019710d,data/raw/aptos/train_images/train_images/1e1fb019710d.png,aptos,2,train
aptos_1e4650743fa2,data/raw/aptos/train_images/train_images/1e4650743fa2.png,aptos,2,train
aptos_1e4b3b823b95,data/raw/aptos/train_images/train_images/1e4b3b823b95.png,aptos,2,train
aptos_1e742358e0b9,data/raw/aptos/train_images/train_images/1e742358e0b9.png,aptos,0,train
aptos_1e7ccd4a1c87,data/raw/aptos/train_images/train_images/1e7ccd4a1c87.png,aptos,0,train
aptos_1e8a1fdee5b9,data/raw/aptos/train_images/train_images/1e8a1fdee5b9.png,aptos,1,train
aptos_1e8c31e29dd3,data/raw/aptos/train_images/train_images/1e8c31e29dd3.png,aptos,0,train
aptos_1e9224ccca95,data/raw/aptos/train_images/train_images/1e9224ccca95.png,aptos,4,train
aptos_1ec95179cdfe,data/raw/aptos/train_images/train_images/1ec95179cdfe.png,aptos,0,train
aptos_1ee1eb7943db,data/raw/aptos/train_images/train_images/1ee1eb7943db.png,aptos,2,train
aptos_1ee355480567,data/raw/aptos/train_images/train_images/1ee355480567.png,aptos,0,train
aptos_1eee55494271,data/raw/aptos/train_images/train_images/1eee55494271.png,aptos,0,train
aptos_1efa5d443707,data/raw/aptos/train_images/train_images/1efa5d443707.png,aptos,4,train
aptos_1f07dae3cadb,data/raw/aptos/train_images/train_images/1f07dae3cadb.png,aptos,2,train
aptos_1f0e223b8055,data/raw/aptos/train_images/train_images/1f0e223b8055.png,aptos,2,train
aptos_1f15ca672675,data/raw/aptos/train_images/train_images/1f15ca672675.png,aptos,0,train
aptos_1f31701dd61b,data/raw/aptos/train_images/train_images/1f31701dd61b.png,aptos,0,train
aptos_1f3f32efaf20,data/raw/aptos/train_images/train_images/1f3f32efaf20.png,aptos,0,train
aptos_1f4bf8e28b41,data/raw/aptos/train_images/train_images/1f4bf8e28b41.png,aptos,2,train
aptos_1f4fb37e0854,data/raw/aptos/train_images/train_images/1f4fb37e0854.png,aptos,0,train
aptos_1f543a86c4d4,data/raw/aptos/train_images/train_images/1f543a86c4d4.png,aptos,2,train
aptos_1f5496352859,data/raw/aptos/train_images/train_images/1f5496352859.png,aptos,0,train
aptos_1f63d44d9e3c,data/raw/aptos/train_images/train_images/1f63d44d9e3c.png,aptos,2,train
aptos_1f9ccda4ddf2,data/raw/aptos/train_images/train_images/1f9ccda4ddf2.png,aptos,0,train
aptos_1faf8664816c,data/raw/aptos/train_images/train_images/1faf8664816c.png,aptos,0,train
aptos_1fb455685328,data/raw/aptos/train_images/train_images/1fb455685328.png,aptos,0,train
aptos_1fd5d860d4d7,data/raw/aptos/train_images/train_images/1fd5d860d4d7.png,aptos,4,train
aptos_1fddd7c98fd2,data/raw/aptos/train_images/train_images/1fddd7c98fd2.png,aptos,0,train
aptos_1ffaa51a6245,data/raw/aptos/train_images/train_images/1ffaa51a6245.png,aptos,2,train
aptos_200d947f75db,data/raw/aptos/train_images/train_images/200d947f75db.png,aptos,1,train
aptos_2017cd92c63d,data/raw/aptos/train_images/train_images/2017cd92c63d.png,aptos,4,train
aptos_201f6e10c108,data/raw/aptos/train_images/train_images/201f6e10c108.png,aptos,0,train
aptos_201f882365d3,data/raw/aptos/train_images/train_images/201f882365d3.png,aptos,0,train
aptos_203275daf46d,data/raw/aptos/train_images/train_images/203275daf46d.png,aptos,2,train
aptos_20404ec7b518,data/raw/aptos/train_images/train_images/20404ec7b518.png,aptos,2,train
aptos_20688cb25704,data/raw/aptos/train_images/train_images/20688cb25704.png,aptos,2,train
aptos_207a580de0ea,data/raw/aptos/train_images/train_images/207a580de0ea.png,aptos,2,train
aptos_207dd0487264,data/raw/aptos/train_images/train_images/207dd0487264.png,aptos,0,train
aptos_20c883d3bd38,data/raw/aptos/train_images/train_images/20c883d3bd38.png,aptos,2,train
aptos_20d5fdd450ae,data/raw/aptos/train_images/train_images/20d5fdd450ae.png,aptos,4,train
aptos_20f86e068276,data/raw/aptos/train_images/train_images/20f86e068276.png,aptos,0,train
aptos_21037f5c7790,data/raw/aptos/train_images/train_images/21037f5c7790.png,aptos,0,train
aptos_210bfe0127c6,data/raw/aptos/train_images/train_images/210bfe0127c6.png,aptos,0,train
aptos_211518c46162,data/raw/aptos/train_images/train_images/211518c46162.png,aptos,4,train
aptos_2131aa3a1e6f,data/raw/aptos/train_images/train_images/2131aa3a1e6f.png,aptos,2,train
aptos_215d2b7c3fde,data/raw/aptos/train_images/train_images/215d2b7c3fde.png,aptos,0,train
aptos_217dad18a5ed,data/raw/aptos/train_images/train_images/217dad18a5ed.png,aptos,2,train
aptos_218c822a3dd9,data/raw/aptos/train_images/train_images/218c822a3dd9.png,aptos,0,train
aptos_21abd36095a1,data/raw/aptos/train_images/train_images/21abd36095a1.png,aptos,4,train
aptos_21d18b022429,data/raw/aptos/train_images/train_images/21d18b022429.png,aptos,4,train
aptos_22098b1fe461,data/raw/aptos/train_images/train_images/22098b1fe461.png,aptos,1,train
aptos_2209daf71aab,data/raw/aptos/train_images/train_images/2209daf71aab.png,aptos,0,train
aptos_2221cf5c7935,data/raw/aptos/train_images/train_images/2221cf5c7935.png,aptos,0,train
