image_id,image_path,split,ma_mask,he_mask,ex_mask,se_mask
IDRiD_27,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_27.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_27_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_27_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_27_EX.tif,
IDRiD_33,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_33.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_33_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_33_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_33_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_33_SE.tif
IDRiD_32,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_32.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_32_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_32_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_32_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_32_SE.tif
IDRiD_26,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_26.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_26_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_26_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_26_EX.tif,
IDRiD_18,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_18.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_18_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_18_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_18_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_18_SE.tif
IDRiD_30,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_30.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_30_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_30_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_30_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_30_SE.tif
IDRiD_24,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_24.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_24_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_24_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_24_EX.tif,
IDRiD_25,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_25.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_25_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_25_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_25_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_25_SE.tif
IDRiD_31,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_31.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_31_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_31_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_31_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_31_SE.tif
IDRiD_19,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_19.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_19_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_19_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_19_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_19_SE.tif
